intern_id,month,tasks_completed,avg_completion_time_hrs,avg_quality_score,avg_mentor_feedback,speed_score,performance_score
INT001,2026-07,6,5.34,7.1,5.83,4.2332613390928735,5.86
INT001,2026-08,5,6.34,7.11,5.58,3.153347732181425,5.46
INT001,2026-09,4,5.74,7.38,7.12,3.801295896328294,6.23
INT002,2026-07,5,6.33,6.24,7.45,3.1641468682505405,5.68
INT002,2026-08,9,6.53,5.62,7.99,2.9481641468682493,5.53
INT002,2026-09,8,6.97,6.28,6.49,2.4730021598272134,5.2
INT003,2026-07,8,6.42,6.29,8.65,3.06695464362851,6.03
INT003,2026-08,9,5.35,6.33,6.41,4.222462203023758,5.72
INT003,2026-09,4,5.96,7.71,7.67,3.5637149028077753,6.45
INT004,2026-07,7,8.84,4.99,5.98,0.4535637149028082,3.93
INT004,2026-08,7,8.54,4.64,5.62,0.7775377969762431,3.78
INT004,2026-09,4,7.69,5.03,5.97,1.6954643628509714,4.31
INT005,2026-07,4,6.81,6.8,5.92,2.645788336933046,5.29
INT005,2026-08,4,6.35,6.96,6.98,3.142548596112311,5.82
INT005,2026-09,6,5.52,6.93,8.34,4.0388768898488125,6.49
INT006,2026-07,6,5.26,7.31,7.19,4.319654427645788,6.38
INT006,2026-08,6,5.36,7.93,9.41,4.211663066954642,7.26
INT006,2026-09,8,4.84,7.34,9.62,4.773218142548597,7.25
INT007,2026-07,8,7.3,4.76,5.04,2.1166306695464367,4.05
INT007,2026-08,8,8.57,4.46,8.4,0.7451403887688979,4.53
INT007,2026-09,5,9.26,6.07,5.22,0.0,3.99
INT008,2026-07,4,5.22,8.07,9.32,4.362850971922247,7.33
INT008,2026-08,5,2.85,9.09,10.0,6.922246220302375,8.71
INT008,2026-09,6,5.43,9.04,8.5,4.136069114470843,7.41
INT009,2026-07,4,4.71,7.52,6.87,4.913606911447084,6.54
INT009,2026-08,8,7.27,7.62,6.77,2.14902807775378,5.72
INT009,2026-09,4,6.1,7.32,8.3,3.412526997840173,6.44
INT010,2026-07,9,7.57,6.08,7.98,1.8250539956803447,5.37
INT010,2026-08,9,5.66,5.73,7.13,3.8876889848812093,5.6
INT010,2026-09,8,5.95,6.51,10.0,3.574514038876889,6.68
INT011,2026-07,6,6.6,6.35,6.36,2.8725701943844495,5.31
INT011,2026-08,8,7.74,6.07,7.44,1.6414686825053992,5.15
INT011,2026-09,7,5.85,6.76,8.89,3.6825053995680346,6.48
INT012,2026-07,6,5.93,6.31,7.45,3.596112311015119,5.84
INT012,2026-08,9,6.09,6.95,8.05,3.4233261339092866,6.22
INT012,2026-09,8,6.89,6.37,3.71,2.5593952483801297,4.43
INT013,2026-07,6,5.5,6.71,7.38,4.060475161987041,6.12
INT013,2026-08,7,6.96,7.68,7.03,2.4838012958963285,5.93
INT013,2026-09,9,6.23,7.19,7.75,3.2721382289416843,6.18
INT014,2026-07,8,4.22,8.25,7.97,5.442764578833694,7.32
INT014,2026-08,4,4.38,8.43,7.45,5.269978401727862,7.19
INT014,2026-09,7,5.09,8.86,8.46,4.503239740820735,7.43
INT015,2026-07,7,6.71,6.56,7.29,2.75377969762419,5.64
INT015,2026-08,7,6.43,6.01,6.21,3.056155507559395,5.18
INT015,2026-09,8,5.58,6.74,5.96,3.9740820734341256,5.68
INT016,2026-07,4,6.82,6.43,7.11,2.634989200863931,5.5
INT016,2026-08,9,6.13,6.77,6.76,3.38012958963283,5.75
INT016,2026-09,7,6.24,6.4,5.35,3.2613390928725696,5.14
INT017,2026-07,6,5.87,7.15,9.2,3.6609071274298053,6.72
INT017,2026-08,8,6.66,7.24,7.22,2.8077753779697625,5.9
INT017,2026-09,4,4.99,7.34,6.08,4.611231101511879,6.14
INT018,2026-07,5,4.26,9.54,8.0,5.399568034557236,7.84
INT018,2026-08,4,5.34,9.33,7.69,4.2332613390928735,7.31
INT018,2026-09,4,2.98,8.09,6.22,6.781857451403887,7.14
INT019,2026-07,9,6.47,5.7,9.61,3.012958963282938,6.07
INT019,2026-08,6,7.21,6.41,7.53,2.213822894168467,5.49
INT019,2026-09,6,6.8,5.95,7.52,2.65658747300216,5.43
INT020,2026-07,7,6.32,7.91,6.7,3.1749460043196542,6.13
INT020,2026-08,7,2.73,7.56,8.15,7.051835853131749,7.58
INT020,2026-09,9,4.34,8.65,7.63,5.31317494600432,7.34
INT021,2026-07,8,3.76,8.81,8.61,5.939524838012959,7.89
INT021,2026-08,7,4.94,9.35,9.65,4.665226781857451,8.03
INT021,2026-09,8,4.05,9.38,6.88,5.62634989200864,7.5
INT022,2026-07,7,5.1,7.94,5.52,4.49244060475162,6.18
INT022,2026-08,9,5.05,7.64,6.37,4.546436285097192,6.33
INT022,2026-09,8,4.26,7.85,7.62,5.399568034557236,7.05
INT023,2026-07,7,7.54,6.51,7.61,1.8574514038876888,5.44
INT023,2026-08,9,6.66,6.71,7.14,2.8077753779697625,5.67
INT023,2026-09,5,7.43,7.09,7.32,1.9762419006479481,5.62
INT024,2026-07,5,7.11,8.12,7.8,2.321814254859611,6.28
INT024,2026-08,7,6.06,7.21,9.93,3.455723542116631,6.9
INT024,2026-09,4,6.59,7.62,8.98,2.8833693304535633,6.61
INT025,2026-07,6,3.82,9.39,6.54,5.874730021598272,7.48
INT025,2026-08,6,3.63,9.64,8.66,6.079913606911447,8.28
INT025,2026-09,4,2.95,9.45,7.23,6.81425485961123,7.99
INT026,2026-07,7,5.51,7.16,7.42,4.049676025917926,6.3
INT026,2026-08,7,6.98,6.73,5.51,2.4622030237580983,5.08
INT026,2026-09,6,7.79,6.33,6.14,1.5874730021598271,4.85
INT027,2026-07,5,6.16,7.13,9.71,3.347732181425486,6.77
INT027,2026-08,9,6.3,7.48,6.81,3.1965442764578835,5.99
INT027,2026-09,6,7.99,6.12,7.04,1.3714902807775375,4.97
INT028,2026-07,9,4.8,8.58,6.63,4.816414686825055,6.87
INT028,2026-08,5,3.2,9.21,8.31,6.5442764578833685,8.14
INT028,2026-09,9,3.47,8.37,9.07,6.252699784017278,7.94
INT029,2026-07,7,8.17,5.5,8.37,1.177105831533477,5.06
INT029,2026-08,4,6.68,6.49,7.64,2.786177105831533,5.72
INT029,2026-09,4,5.95,5.79,6.62,3.574514038876889,5.37
INT030,2026-07,6,7.52,7.29,7.02,1.8790496760259179,5.59
INT030,2026-08,8,6.42,6.48,7.31,3.06695464362851,5.71
INT030,2026-09,5,4.98,5.73,7.55,4.622030237580993,5.94
