intern_id,month,tasks_completed,avg_completion_time_hrs,avg_quality_score,avg_mentor_feedback,speed_score,performance_score
INT021,2026-07,8,3.76,8.81,8.61,5.939524838012959,7.89
INT018,2026-07,5,4.26,9.54,8.0,5.399568034557236,7.84
INT025,2026-07,6,3.82,9.39,6.54,5.874730021598272,7.48
INT008,2026-07,4,5.22,8.07,9.32,4.362850971922247,7.33
INT014,2026-07,8,4.22,8.25,7.97,5.442764578833694,7.32
INT028,2026-07,9,4.8,8.58,6.63,4.816414686825055,6.87
INT027,2026-07,5,6.16,7.13,9.71,3.347732181425486,6.77
INT017,2026-07,6,5.87,7.15,9.2,3.6609071274298053,6.72
INT009,2026-07,4,4.71,7.52,6.87,4.913606911447084,6.54
INT006,2026-07,6,5.26,7.31,7.19,4.319654427645788,6.38
INT026,2026-07,7,5.51,7.16,7.42,4.049676025917926,6.3
INT024,2026-07,5,7.11,8.12,7.8,2.321814254859611,6.28
INT022,2026-07,7,5.1,7.94,5.52,4.49244060475162,6.18
INT020,2026-07,7,6.32,7.91,6.7,3.1749460043196542,6.13
INT013,2026-07,6,5.5,6.71,7.38,4.060475161987041,6.12
INT019,2026-07,9,6.47,5.7,9.61,3.012958963282938,6.07
INT003,2026-07,8,6.42,6.29,8.65,3.06695464362851,6.03
INT001,2026-07,6,5.34,7.1,5.83,4.2332613390928735,5.86
INT012,2026-07,6,5.93,6.31,7.45,3.596112311015119,5.84
INT002,2026-07,5,6.33,6.24,7.45,3.1641468682505405,5.68
INT015,2026-07,7,6.71,6.56,7.29,2.75377969762419,5.64
INT030,2026-07,6,7.52,7.29,7.02,1.8790496760259179,5.59
INT016,2026-07,4,6.82,6.43,7.11,2.634989200863931,5.5
INT023,2026-07,7,7.54,6.51,7.61,1.8574514038876888,5.44
INT010,2026-07,9,7.57,6.08,7.98,1.8250539956803447,5.37
INT011,2026-07,6,6.6,6.35,6.36,2.8725701943844495,5.31
INT005,2026-07,4,6.81,6.8,5.92,2.645788336933046,5.29
INT029,2026-07,7,8.17,5.5,8.37,1.177105831533477,5.06
INT007,2026-07,8,7.3,4.76,5.04,2.1166306695464367,4.05
INT004,2026-07,7,8.84,4.99,5.98,0.4535637149028082,3.93
